ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.0006,70.95,0.04257,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.001,4.03,0.00403,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Polysorbate-20,Raw Material,Ingredient,0.0014,13.2,0.01848,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.0031,0.73,0.00227,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Lemongrass-Essential-Oil,Raw Material,Ingredient,0.004,50.93,0.20372,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Polysorbate-20,Raw Material,Ingredient,0.0056,13.2,0.07392,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.0069,0.26,0.00182,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Lemongrass-Essential-Oil,Raw Material,Ingredient,0.01,50.93,0.5093,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.0124,0.73,0.00906,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.0276,0.26,0.00729,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.04,4.03,0.16114,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.08,0.26,0.02113,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.32,0.26,0.08454,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,LABEL AY-Here-Comes-The-Sun-Room-Spray 4oz,Packaging,Label,1,0.3,0.3,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,LABEL AY-Here-Comes-The-Sun-Room-Spray 16oz,Packaging,Label,1,0.65,0.65,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Hibernated,
B08M2Q3D49,AY-Here-Comes-The-Sun-Spray-4oz-16oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Hibernated,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,BTL-8oz-Cosmo-White-24-410,Packaging,Container/Pouch,1,0.3,0.3,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-Chamomile-Blue-Essential-Oil,Raw Material,Ingredient,0.00011,1656.89,0.1864,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-Geranium-Egyptian-Essential-Oil,Raw Material,Ingredient,0.00114,159.72,0.18168,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00285,83.6,0.23826,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-Polysorbate-20,Raw Material,Ingredient,0.00412,13.2,0.05445,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.00709,0.73,0.00518,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.01578,0.26,0.00417,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.02287,4.03,0.09215,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.18261,0.26,0.04824,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,LABEL-AY-Namaste-In-Bed-Sleep-Spray-8oz,Packaging,Label,1,0.43,0.434,Active,
B08KDZ8T8Z,AY-Namaste-In-Bed-Sleep-Spray-8oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,BTL-8oz-Cosmo-White-24-410,Packaging,Container/Pouch,1,0.3,0.3,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,CLEARECOBAG-7.5X10,Packaging,Eco Bags,1,0.08,0.0816,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-PWD-Potassium-Sorbate,Raw Material,Ingredient,0.00006,15.88,0.00095,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-TA-EUCALYPTUS-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00125,38.5,0.04813,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-TA-TEA-TREE-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00125,73.48,0.09185,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-MENTHOL,Raw Material,Ingredient,0.00175,31.66,0.0554,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-Polysorbate-20,Raw Material,Ingredient,0.00375,13.2,0.0495,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-PWD-SALICYLIC-ACID,Raw Material,Ingredient,0.00472,11.13,0.05255,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.00709,0.73,0.00518,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.01578,0.26,0.00417,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.02287,4.03,0.09213,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-Aloe-Vera-Juice,Raw Material,Ingredient,0.02287,1.15,0.02622,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.15393,0.26,0.04066,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,LABL-5.3125X5.25-AY-Reverse-Warrior-Body-Spray-8oz,Packaging,Label,1,0.43,0.43,Active,
B08KFGBHJX,AY-Reverse-Warrior-Body-Spray-8oz,"TRIGGER-SPRAYER-24-410-7.75""",Packaging,Top Cover,1,,,Active,
B08JRS5C34,AY-Rose-Above-Stem-Cell-Cleanser-4oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Hibernated,
B08JRS5C34,AY-Rose-Above-Stem-Cell-Cleanser-4oz,Ayadara-Rose-Stem-Cell-Exfoliating-Cleanser-PLSF,Raw Material,Turnkey FG,1,5,5,Hibernated,
B08JS1KZHP,AY-Rose-Shine-Stem-Cell-Peptide-Cream-2oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Hibernated,
B08JS1KZHP,AY-Rose-Shine-Stem-Cell-Peptide-Cream-2oz,AY-Rose-Shine-Stem-Cell-Peptide-Cream-PLSF,Raw Material,Turnkey FG,1,7.5,7.5,Hibernated,
B08JS3R6KW,AY-Rose-To-The-Occasion-Eye-Serum-1oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Hibernated,
B08JS3R6KW,AY-Rose-To-The-Occasion-Eye-Serum-1oz,Ayadara-Rose-Stem-Cell-Peptide-Eye-Serum-PLSF,Raw Material,Turnkey FG,1,7.5,7.5,Hibernated,
B0965WMQFM,AY-Scars-No-More-2oz,CLEARECOBAG-6X8,Packaging,Eco Bags,1,0.06,0.05573,Active,
B0965WMQFM,AY-Scars-No-More-2oz,LABL-AY-Scars-No-More-Side,Packaging,Label,1,0.21,0.21,Active,
B0965WMQFM,AY-Scars-No-More-2oz,WL-Scar-Cream-2oz-PLSF,Raw Material,White Label,1,3.16,3.1565,Active,
B08KF94MCT,AY-Shower-Spray-Eucalyptus-8oz,BTL-8oz-Cosmo-White-24-410,Packaging,Container/Pouch,1,0.3,0.3,Hibernated,
